Year,First,Second,,,
1979,180.00,1085.00,,,
1980,194.00,1171.00,,,
1981,211.00,1274.00,,,
1982,230.00,1388.00,,,
1983,254.00,1528.00,,,
1984,267.00,1612.00,,,
1985,280.00,1691.00,,,
1986,297.00,1790.00,,,
1987,310.00,1866.00,,,
1988,319.00,1922.00,,,
1989,339.00,2044.00,,,
1990,356.00,2145.00,,,
1991,370.00,2230.00,,,
1992,387.00,2333.00,,,
1993,401.00,2420.00,,,
1994,422.00,2545.00,,,
1995,426.00,2567.00,,,
1996,437.00,2635.00,,,
1997,455.00,2741.00,,,
1998,477.00,2875.00,,,
1999,505.00,3043.00,,,
2000,531.00,3202.00,,,
2001,561.00,3381.00,,,
2002,592.00,3567.00,,,
2003,606.00,3653.00,,,
2004,612.00,3689.00,,,
2005,627.00,3779.00,,,
2006,656.00,3955.00,,,
2007,680.00,4100.00,,,
2008,711.00,4288.00,,,
2009,744.00,4483.00,,,
2010,761.00,4586.00,,,
2011,749.00,4517.00,,,
2012,767.00,4624.00,,,
2013,791.00,4768.00,,,
2014,816.00,4917.00,,,
2015,826.00,4980.00,,,
2016,856.00,5157.00,,,
2017,885.00,5336.00,,,
,,,,,
